sample	r_nnls	r_simplex	l1	l2
CLM60	0.000405181269881907	0.000706437162581244	0.0000715801616957834	0.0000361676921383348
CLM61	0.0000758789375986586	0.000230654300394477	0.000391406500465794	0.000240184844623813
CLM63	0.000119869140131606	0.000327071526860605	0.00032724782041408	0.000212160668701991
CLM64	0.000322853693801702	0.000639905010010568	0.000312812247986294	0.0001936280587874
CLM66	0.0000461206656666982	0.00018192935816793	0.000157301814752465	0.0000951209660236562
CLM67	0.0000699530897820764	0.000232631635638884	0.000384881749641859	0.000231984121127778
CLM69	0.000261533014910492	0.0000850178847772169	0.00207744338588207	0.000970732145824539
CLM70	0.000239658611661855	0.000495328958320723	0.000118286164914841	0.0000642890919727423
CLM72	0.00033845321066444	0.000617613475521025	0.000440718768324605	0.000257162881316712
CLM73	0.000285251107673424	0.000521057955431392	0.000395769799908005	0.00023924218428084
CLM75	0.000132834431979917	0.000305403837184943	0.000286194240182516	0.000154719741819928
CLM76	0.00102202570819998	0.00146263310933816	0.000191666262475632	0.000113758041310733
CLM78	0.00207490031598637	0.00260647131960544	0.000115095847925711	0.0000670600477724325
CLM79	0.000804363235167367	0.00123935995665753	0.000156448154821104	0.000102559188043628
CLM80	0.000117532830759098	0.000323953184130293	0.000395062987435246	0.000247624298647065
CLM81	0.0000905082683944686	0.0000206949110338251	0.000144874647232479	0.0000848538768482821
CLM83	0.0000520675850457382	0.000179417961058926	0.000822675800850763	0.000387072567259045
CLM84	0.000323723185608775	0.000608920788583915	0.000080325616222246	0.0000464434708261635
CLM86	0.0000217003893217354	0.000116774243204646	0.000392949038819167	0.000251833132649039
CLM87	0.000102720340355089	0.000288142861799923	0.000152981460734378	0.0000889847081499903
CLM89	0.00000769228223663457	0.000053423103809313	0.000264559572166888	0.000145310815325941
CLM90	0.0000326142227829675	0.000034351087154474	0.000246964588309667	0.000152097046979357
CLM92	0.000418341361146376	0.000726978650604746	0.000587475327314402	0.000306598168198013
CLM93	0.000812724389840048	0.00125636284874302	0.000120717528387125	0.0000715863690203845
